Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	root_freqs[1]	root_freqs[2]	tree_length
0	-1068.459	-1676.316	607.8568	1.627349	3.642434	0.72333	0.27667	0.7027525
6	-1064.186	-1672.132	607.9456	1.587038	3.079958	0.756794	0.243206	0.9252552
12	-1060.066	-1667.823	607.757	1.411909	3.434336	0.860038	0.139962	1.14175
18	-1047.553	-1655.843	608.2899	1.194499	1.931124	0.807545	0.192455	1.464348
24	-1058.824	-1666.768	607.9441	1.348434	1.896902	0.778614	0.221386	1.621761
30	-1053.9	-1661.81	607.9106	1.295493	3.036802	0.810283	0.189717	1.246615
36	-1052.874	-1661.311	608.4368	1.46461	2.211577	0.692431	0.307569	0.9696358
42	-1088.634	-1696.894	608.2601	1.290173	1.948793	0.796404	0.203596	1.40565
48	-1090.623	-1698.34	607.7175	1.366438	2.69386	0.66934	0.33066	1.463625
54	-1065.892	-1673.753	607.8616	1.123843	2.484667	0.701838	0.298162	1.610786
60	-1060.607	-1668.818	608.211	1.211305	1.959866	0.77329	0.22671	1.498205
66	-1047.082	-1655.212	608.1302	1.341594	2.586544	0.692693	0.307307	1.192518
72	-1042.583	-1651.25	608.667	1.418716	1.6974	0.777612	0.222388	1.090349
78	-1062.335	-1670.523	608.1875	1.335197	2.376137	0.677249	0.322751	1.237738
84	-1074.08	-1682.206	608.1257	1.421313	2.504938	0.820194	0.179806	1.161485
90	-1064.741	-1672.512	607.7707	1.248189	2.319185	0.746016	0.253984	1.647271
96	-1071.672	-1679.271	607.5986	1.125102	3.180095	0.707601	0.292399	1.575231
102	-1048.623	-1656.121	607.4981	1.119706	3.908934	0.690399	0.309601	1.451619
108	-1066.7	-1674.426	607.7263	1.160229	2.424146	0.828102	0.171898	1.703239
114	-1059.916	-1668.166	608.2499	1.245515	2.282011	0.74846	0.25154	1.300629
120	-1058.633	-1666.973	608.3402	1.366925	1.881204	0.640653	0.359347	1.314082
126	-1070.654	-1678.32	607.6658	1.282658	3.717249	0.695123	0.304877	1.241828
132	-1062.807	-1670.497	607.6899	1.385602	3.32977	0.793921	0.206079	1.256481
138	-1062.578	-1670.653	608.0746	1.402381	2.69731	0.824459	0.175541	1.142393
144	-1077.017	-1684.567	607.5496	1.40447	4.453637	0.618975	0.381025	1.017079
150	-1076.574	-1684.528	607.9539	1.179481	1.744947	0.766732	0.233268	1.802023
156	-1065.03	-1672.441	607.4105	1.143943	2.025211	0.644327	0.355673	2.07604
162	-1052.627	-1660.864	608.2373	1.348264	1.802222	0.790897	0.209103	1.448127
168	-1064.21	-1672.062	607.8521	1.239136	1.788709	0.650105	0.349895	1.811587
174	-1065.929	-1672.794	606.8655	1.109239	3.265907	0.818131	0.181869	2.068762
180	-1043.461	-1650.315	606.8537	1.015541	1.983284	0.748239	0.251761	2.529723
186	-1042.522	-1650.418	607.896	1.033274	1.423203	0.743808	0.256192	2.092232
192	-1037.775	-1644.25	606.4751	0.953409	2.951529	0.767705	0.232295	2.501876
198	-1063.196	-1670.47	607.274	1.123537	1.970863	0.722738	0.277262	2.199236
204	-1064.034	-1671.711	607.6775	1.093676	1.92373	0.681355	0.318645	1.97206
210	-1072.047	-1679.126	607.0784	1.224893	2.616641	0.7517	0.2483	2.037405
216	-1063.285	-1670.801	607.5164	1.185813	2.264697	0.695612	0.304388	1.888188
222	-1060.753	-1667.949	607.1957	0.9224	1.922875	0.7426	0.2574	2.396254
228	-1064.88	-1672.281	607.4007	1.007327	1.922875	0.812606	0.187394	2.211094
234	-1083.986	-1691.042	607.0565	1.141562	1.872116	0.519378	0.480622	2.365283
240	-1063.798	-1671.101	607.3028	1.124392	2.391343	0.780923	0.219077	2.028614
246	-1077.458	-1684.553	607.0946	1.141351	2.493147	0.611077	0.388923	2.121015
252	-1065.461	-1673.542	608.0802	1.100859	1.46044	0.672368	0.327632	1.905476
258	-1048.118	-1655.084	606.9651	1.085028	3.01312	0.737054	0.262946	2.087333
264	-1061.063	-1669.048	607.9846	1.136777	1.877783	0.763465	0.236535	1.751723
270	-1072.464	-1679.671	607.2066	1.269451	2.233838	0.771441	0.228559	2.050866
276	-1069.739	-1678.204	608.4651	1.27985	1.842324	0.6468	0.3532	1.302952
282	-1063.06	-1671.368	608.3078	1.243364	1.546372	0.725009	0.274991	1.602249
288	-1062.315	-1670.019	607.7038	1.267923	2.22481	0.807306	0.192694	1.716447
294	-1068.686	-1675.421	606.7345	0.9264592	3.538112	0.743139	0.256861	2.205355
300	-1054.597	-1661.194	606.5972	0.9278111	3.471427	0.824089	0.175911	2.30871
306	-1062.718	-1669.962	607.2435	1.004476	1.936054	0.668954	0.331046	2.30871
312	-1074.773	-1682.116	607.3428	1.155764	2.757476	0.764684	0.235316	1.862088
318	-1049.295	-1656.917	607.6223	1.204629	2.948707	0.713607	0.286393	1.570396
324	-1038.083	-1645.727	607.6445	1.026011	1.567338	0.69849	0.30151	2.191779
330	-1020.844	-1628.113	607.2688	0.9739985	2.276017	0.69241	0.30759	2.188745
336	-1033.738	-1641.012	607.2737	0.969109	2.276017	0.702928	0.297072	2.188745
342	-1039.726	-1647.197	607.471	1.152453	1.978661	0.649286	0.350714	2.048464
348	-1053.071	-1660.583	607.5121	1.04591	1.759808	0.663765	0.336235	2.180111
